CDS	LEAname	Countyname	LocalIndicator	Performance
01100170000000	Alameda County Office of Education	Alameda	Basic-Priority Area 1	Met
01100170000000	Alameda County Office of Education	Alameda	Academic-Priority Area 2	Met
01100170000000	Alameda County Office of Education	Alameda	Parents-Priority Area 3	Met
01100170000000	Alameda County Office of Education	Alameda	Climate-Priority Area 6	Met
01100170000000	Alameda County Office of Education	Alameda	Expelled-Priority Area 9	Met
01100170000000	Alameda County Office of Education	Alameda	FosterYouth-Priority Area 10	Met
01611190000000	Alameda Unified	Alameda	Basic-Priority Area 1	Met
01611190000000	Alameda Unified	Alameda	Academic-Priority Area 2	Met
01611190000000	Alameda Unified	Alameda	Parents-Priority Area 3	Met
01611190000000	Alameda Unified	Alameda	Climate-Priority Area 6	Met
01611270000000	Albany City Unified	Alameda	Basic-Priority Area 1	Met
01611270000000	Albany City Unified	Alameda	Academic-Priority Area 2	Met
01611270000000	Albany City Unified	Alameda	Parents-Priority Area 3	Met
01611270000000	Albany City Unified	Alameda	Climate-Priority Area 6	Met
01611430000000	Berkeley Unified	Alameda	Basic-Priority Area 1	Met
01611430000000	Berkeley Unified	Alameda	Academic-Priority Area 2	Met
01611430000000	Berkeley Unified	Alameda	Parents-Priority Area 3	Met
01611430000000	Berkeley Unified	Alameda	Climate-Priority Area 6	Met
01611500000000	Castro Valley Unified	Alameda	Basic-Priority Area 1	Met
01611500000000	Castro Valley Unified	Alameda	Academic-Priority Area 2	Met
01611500000000	Castro Valley Unified	Alameda	Parents-Priority Area 3	Met
01611500000000	Castro Valley Unified	Alameda	Climate-Priority Area 6	Met
01611680000000	Emery Unified	Alameda	Basic-Priority Area 1	Met
01611680000000	Emery Unified	Alameda	Academic-Priority Area 2	Met
01611680000000	Emery Unified	Alameda	Parents-Priority Area 3	Met
01611680000000	Emery Unified	Alameda	Climate-Priority Area 6	Met
01611760000000	Fremont Unified	Alameda	Basic-Priority Area 1	Met
01611760000000	Fremont Unified	Alameda	Academic-Priority Area 2	Met
01611760000000	Fremont Unified	Alameda	Parents-Priority Area 3	Met
01611760000000	Fremont Unified	Alameda	Climate-Priority Area 6	Met
01611920000000	Hayward Unified	Alameda	Basic-Priority Area 1	Not Met
01611920000000	Hayward Unified	Alameda	Academic-Priority Area 2	Not Met
01611920000000	Hayward Unified	Alameda	Parents-Priority Area 3	Not Met
01611920000000	Hayward Unified	Alameda	Climate-Priority Area 6	Not Met
01612000000000	Livermore Valley Joint Unified	Alameda	Basic-Priority Area 1	Met
01612000000000	Livermore Valley Joint Unified	Alameda	Academic-Priority Area 2	Met
01612000000000	Livermore Valley Joint Unified	Alameda	Parents-Priority Area 3	Met
01612000000000	Livermore Valley Joint Unified	Alameda	Climate-Priority Area 6	Met
01612180000000	Mountain House Elementary	Alameda	Basic-Priority Area 1	Not Met
01612180000000	Mountain House Elementary	Alameda	Academic-Priority Area 2	Not Met
01612180000000	Mountain House Elementary	Alameda	Parents-Priority Area 3	Not Met
01612180000000	Mountain House Elementary	Alameda	Climate-Priority Area 6	Not Met
01612340000000	Newark Unified	Alameda	Basic-Priority Area 1	Met
01612340000000	Newark Unified	Alameda	Academic-Priority Area 2	Met
01612340000000	Newark Unified	Alameda	Parents-Priority Area 3	Met
01612340000000	Newark Unified	Alameda	Climate-Priority Area 6	Met
01612420000000	New Haven Unified	Alameda	Basic-Priority Area 1	Met
01612420000000	New Haven Unified	Alameda	Academic-Priority Area 2	Met
01612420000000	New Haven Unified	Alameda	Parents-Priority Area 3	Met
01612420000000	New Haven Unified	Alameda	Climate-Priority Area 6	Met
01612590000000	Oakland Unified	Alameda	Basic-Priority Area 1	Met
01612590000000	Oakland Unified	Alameda	Academic-Priority Area 2	Met
01612590000000	Oakland Unified	Alameda	Parents-Priority Area 3	Met
01612590000000	Oakland Unified	Alameda	Climate-Priority Area 6	Met
01612750000000	Piedmont City Unified	Alameda	Basic-Priority Area 1	Met
01612750000000	Piedmont City Unified	Alameda	Academic-Priority Area 2	Not Met
01612750000000	Piedmont City Unified	Alameda	Parents-Priority Area 3	Met
01612750000000	Piedmont City Unified	Alameda	Climate-Priority Area 6	Not Met
01612910000000	San Leandro Unified	Alameda	Basic-Priority Area 1	Met
01612910000000	San Leandro Unified	Alameda	Academic-Priority Area 2	Met
01612910000000	San Leandro Unified	Alameda	Parents-Priority Area 3	Met
01612910000000	San Leandro Unified	Alameda	Climate-Priority Area 6	Met
01613090000000	San Lorenzo Unified	Alameda	Basic-Priority Area 1	Met
01613090000000	San Lorenzo Unified	Alameda	Academic-Priority Area 2	Met
01613090000000	San Lorenzo Unified	Alameda	Parents-Priority Area 3	Met
01613090000000	San Lorenzo Unified	Alameda	Climate-Priority Area 6	Met
01750930000000	Dublin Unified	Alameda	Basic-Priority Area 1	Met
01750930000000	Dublin Unified	Alameda	Academic-Priority Area 2	Met
01750930000000	Dublin Unified	Alameda	Parents-Priority Area 3	Met
01750930000000	Dublin Unified	Alameda	Climate-Priority Area 6	Met
01751010000000	Pleasanton Unified	Alameda	Basic-Priority Area 1	Met
01751010000000	Pleasanton Unified	Alameda	Academic-Priority Area 2	Met
01751010000000	Pleasanton Unified	Alameda	Parents-Priority Area 3	Met
01751010000000	Pleasanton Unified	Alameda	Climate-Priority Area 6	Met
01751190000000	Sunol Glen Unified	Alameda	Basic-Priority Area 1	Not Met
01751190000000	Sunol Glen Unified	Alameda	Academic-Priority Area 2	Not Met
01751190000000	Sunol Glen Unified	Alameda	Parents-Priority Area 3	Not Met
01751190000000	Sunol Glen Unified	Alameda	Climate-Priority Area 6	Not Met
02100250000000	Alpine County Office of Education	Alpine	Basic-Priority Area 1	Met
02100250000000	Alpine County Office of Education	Alpine	Academic-Priority Area 2	Met
02100250000000	Alpine County Office of Education	Alpine	Parents-Priority Area 3	Met
02100250000000	Alpine County Office of Education	Alpine	Climate-Priority Area 6	Met
02100250000000	Alpine County Office of Education	Alpine	Expelled-Priority Area 9	Not Met
02100250000000	Alpine County Office of Education	Alpine	FosterYouth-Priority Area 10	Met
02613330000000	Alpine County Unified	Alpine	Basic-Priority Area 1	Met
02613330000000	Alpine County Unified	Alpine	Academic-Priority Area 2	Met
02613330000000	Alpine County Unified	Alpine	Parents-Priority Area 3	Met
02613330000000	Alpine County Unified	Alpine	Climate-Priority Area 6	Met
03100330000000	Amador County Office of Education	Amador	Basic-Priority Area 1	Met
03100330000000	Amador County Office of Education	Amador	Academic-Priority Area 2	Met
03100330000000	Amador County Office of Education	Amador	Parents-Priority Area 3	Met
03100330000000	Amador County Office of Education	Amador	Climate-Priority Area 6	Met
03100330000000	Amador County Office of Education	Amador	Expelled-Priority Area 9	Met
03100330000000	Amador County Office of Education	Amador	FosterYouth-Priority Area 10	Met
03739810000000	Amador County Unified	Amador	Basic-Priority Area 1	Met
03739810000000	Amador County Unified	Amador	Academic-Priority Area 2	Met
03739810000000	Amador County Unified	Amador	Parents-Priority Area 3	Met
03739810000000	Amador County Unified	Amador	Climate-Priority Area 6	Met
04100410000000	Butte County Office of Education	Butte	Basic-Priority Area 1	Not Met
04100410000000	Butte County Office of Education	Butte	Academic-Priority Area 2	Not Met
04100410000000	Butte County Office of Education	Butte	Parents-Priority Area 3	Not Met
04100410000000	Butte County Office of Education	Butte	Climate-Priority Area 6	Not Met
04100410000000	Butte County Office of Education	Butte	Expelled-Priority Area 9	Not Met
04100410000000	Butte County Office of Education	Butte	FosterYouth-Priority Area 10	Not Met
04613820000000	Bangor Union Elementary	Butte	Basic-Priority Area 1	Met
04613820000000	Bangor Union Elementary	Butte	Academic-Priority Area 2	Met
04613820000000	Bangor Union Elementary	Butte	Parents-Priority Area 3	Met
04613820000000	Bangor Union Elementary	Butte	Climate-Priority Area 6	Met
04614080000000	Biggs Unified	Butte	Basic-Priority Area 1	Met
04614080000000	Biggs Unified	Butte	Academic-Priority Area 2	Met
04614080000000	Biggs Unified	Butte	Parents-Priority Area 3	Met
04614080000000	Biggs Unified	Butte	Climate-Priority Area 6	Met
04614240000000	Chico Unified	Butte	Basic-Priority Area 1	Met
04614240000000	Chico Unified	Butte	Academic-Priority Area 2	Met
04614240000000	Chico Unified	Butte	Parents-Priority Area 3	Met
04614240000000	Chico Unified	Butte	Climate-Priority Area 6	Met
04614320000000	Durham Unified	Butte	Basic-Priority Area 1	Met
04614320000000	Durham Unified	Butte	Academic-Priority Area 2	Met
04614320000000	Durham Unified	Butte	Parents-Priority Area 3	Met
04614320000000	Durham Unified	Butte	Climate-Priority Area 6	Met
04614400000000	Feather Falls Union Elementary	Butte	Basic-Priority Area 1	Met
04614400000000	Feather Falls Union Elementary	Butte	Academic-Priority Area 2	Met
04614400000000	Feather Falls Union Elementary	Butte	Parents-Priority Area 3	Met
04614400000000	Feather Falls Union Elementary	Butte	Climate-Priority Area 6	Met
04614570000000	Golden Feather Union Elementary	Butte	Basic-Priority Area 1	Met
04614570000000	Golden Feather Union Elementary	Butte	Academic-Priority Area 2	Met
04614570000000	Golden Feather Union Elementary	Butte	Parents-Priority Area 3	Met
04614570000000	Golden Feather Union Elementary	Butte	Climate-Priority Area 6	Met
04614990000000	Manzanita Elementary	Butte	Basic-Priority Area 1	Met
04614990000000	Manzanita Elementary	Butte	Academic-Priority Area 2	Met
04614990000000	Manzanita Elementary	Butte	Parents-Priority Area 3	Met
04614990000000	Manzanita Elementary	Butte	Climate-Priority Area 6	Met
04615070000000	Oroville City Elementary	Butte	Basic-Priority Area 1	Met
04615070000000	Oroville City Elementary	Butte	Academic-Priority Area 2	Met
04615070000000	Oroville City Elementary	Butte	Parents-Priority Area 3	Met
04615070000000	Oroville City Elementary	Butte	Climate-Priority Area 6	Met
04615150000000	Oroville Union High	Butte	Basic-Priority Area 1	Met
04615150000000	Oroville Union High	Butte	Academic-Priority Area 2	Met
04615150000000	Oroville Union High	Butte	Parents-Priority Area 3	Met
04615150000000	Oroville Union High	Butte	Climate-Priority Area 6	Met
04615230000000	Palermo Union Elementary	Butte	Basic-Priority Area 1	Met
04615230000000	Palermo Union Elementary	Butte	Academic-Priority Area 2	Met
04615230000000	Palermo Union Elementary	Butte	Parents-Priority Area 3	Met
04615230000000	Palermo Union Elementary	Butte	Climate-Priority Area 6	Met
04615310000000	Paradise Unified	Butte	Basic-Priority Area 1	Met
04615310000000	Paradise Unified	Butte	Academic-Priority Area 2	Met
04615310000000	Paradise Unified	Butte	Parents-Priority Area 3	Met
04615310000000	Paradise Unified	Butte	Climate-Priority Area 6	Met
04615490000000	Thermalito Union Elementary	Butte	Basic-Priority Area 1	Met
04615490000000	Thermalito Union Elementary	Butte	Academic-Priority Area 2	Met
04615490000000	Thermalito Union Elementary	Butte	Parents-Priority Area 3	Met
04615490000000	Thermalito Union Elementary	Butte	Climate-Priority Area 6	Met
04733790000000	Pioneer Union Elementary	Butte	Basic-Priority Area 1	Met
04733790000000	Pioneer Union Elementary	Butte	Academic-Priority Area 2	Met
04733790000000	Pioneer Union Elementary	Butte	Parents-Priority Area 3	Met
04733790000000	Pioneer Union Elementary	Butte	Climate-Priority Area 6	Met
04755070000000	Gridley Unified	Butte	Basic-Priority Area 1	Met
04755070000000	Gridley Unified	Butte	Academic-Priority Area 2	Met
04755070000000	Gridley Unified	Butte	Parents-Priority Area 3	Met
04755070000000	Gridley Unified	Butte	Climate-Priority Area 6	Met
05100580000000	Calaveras County Office of Education	Calaveras	Basic-Priority Area 1	Not Met
05100580000000	Calaveras County Office of Education	Calaveras	Academic-Priority Area 2	Not Met
05100580000000	Calaveras County Office of Education	Calaveras	Parents-Priority Area 3	Not Met
05100580000000	Calaveras County Office of Education	Calaveras	Climate-Priority Area 6	Not Met
05100580000000	Calaveras County Office of Education	Calaveras	Expelled-Priority Area 9	Met
05100580000000	Calaveras County Office of Education	Calaveras	FosterYouth-Priority Area 10	Met
05615560000000	Bret Harte Union High	Calaveras	Basic-Priority Area 1	Not Met
05615560000000	Bret Harte Union High	Calaveras	Academic-Priority Area 2	Not Met
05615560000000	Bret Harte Union High	Calaveras	Parents-Priority Area 3	Not Met
05615560000000	Bret Harte Union High	Calaveras	Climate-Priority Area 6	Not Met
05615640000000	Calaveras Unified	Calaveras	Basic-Priority Area 1	Not Met
05615640000000	Calaveras Unified	Calaveras	Academic-Priority Area 2	Not Met
05615640000000	Calaveras Unified	Calaveras	Parents-Priority Area 3	Met
05615640000000	Calaveras Unified	Calaveras	Climate-Priority Area 6	Not Met
05615720000000	Mark Twain Union Elementary	Calaveras	Basic-Priority Area 1	Met
05615720000000	Mark Twain Union Elementary	Calaveras	Academic-Priority Area 2	Met
05615720000000	Mark Twain Union Elementary	Calaveras	Parents-Priority Area 3	Met
05615720000000	Mark Twain Union Elementary	Calaveras	Climate-Priority Area 6	Met
05615800000000	Vallecito Union	Calaveras	Basic-Priority Area 1	Met
05615800000000	Vallecito Union	Calaveras	Academic-Priority Area 2	Met
05615800000000	Vallecito Union	Calaveras	Parents-Priority Area 3	Met
05615800000000	Vallecito Union	Calaveras	Climate-Priority Area 6	Met
06100660000000	Colusa County Office of Education	Colusa	Basic-Priority Area 1	Met
06100660000000	Colusa County Office of Education	Colusa	Academic-Priority Area 2	Met
06100660000000	Colusa County Office of Education	Colusa	Parents-Priority Area 3	Met
06100660000000	Colusa County Office of Education	Colusa	Climate-Priority Area 6	Met
06100660000000	Colusa County Office of Education	Colusa	Expelled-Priority Area 9	Met
06100660000000	Colusa County Office of Education	Colusa	FosterYouth-Priority Area 10	Met
06615980000000	Colusa Unified	Colusa	Basic-Priority Area 1	Met
06615980000000	Colusa Unified	Colusa	Academic-Priority Area 2	Met
06615980000000	Colusa Unified	Colusa	Parents-Priority Area 3	Met
06615980000000	Colusa Unified	Colusa	Climate-Priority Area 6	Met
06616060000000	Maxwell Unified	Colusa	Basic-Priority Area 1	Met
06616060000000	Maxwell Unified	Colusa	Academic-Priority Area 2	Met
06616060000000	Maxwell Unified	Colusa	Parents-Priority Area 3	Met
06616060000000	Maxwell Unified	Colusa	Climate-Priority Area 6	Met
06616140000000	Pierce Joint Unified	Colusa	Basic-Priority Area 1	Met
06616140000000	Pierce Joint Unified	Colusa	Academic-Priority Area 2	Met
06616140000000	Pierce Joint Unified	Colusa	Parents-Priority Area 3	Met
06616140000000	Pierce Joint Unified	Colusa	Climate-Priority Area 6	Met
06616220000000	Williams Unified	Colusa	Basic-Priority Area 1	Met
06616220000000	Williams Unified	Colusa	Academic-Priority Area 2	Not Met
06616220000000	Williams Unified	Colusa	Parents-Priority Area 3	Not Met
06616220000000	Williams Unified	Colusa	Climate-Priority Area 6	Met
07100740000000	Contra Costa County Office of Education	Contra Costa	Basic-Priority Area 1	Not Met
07100740000000	Contra Costa County Office of Education	Contra Costa	Academic-Priority Area 2	Not Met
07100740000000	Contra Costa County Office of Education	Contra Costa	Parents-Priority Area 3	Not Met
07100740000000	Contra Costa County Office of Education	Contra Costa	Climate-Priority Area 6	Not Met
07100740000000	Contra Costa County Office of Education	Contra Costa	Expelled-Priority Area 9	Not Met
07100740000000	Contra Costa County Office of Education	Contra Costa	FosterYouth-Priority Area 10	Not Met
07616300000000	Acalanes Union High	Contra Costa	Basic-Priority Area 1	Met
07616300000000	Acalanes Union High	Contra Costa	Academic-Priority Area 2	Met
07616300000000	Acalanes Union High	Contra Costa	Parents-Priority Area 3	Met
07616300000000	Acalanes Union High	Contra Costa	Climate-Priority Area 6	Met
07616480000000	Antioch Unified	Contra Costa	Basic-Priority Area 1	Met
07616480000000	Antioch Unified	Contra Costa	Academic-Priority Area 2	Met
07616480000000	Antioch Unified	Contra Costa	Parents-Priority Area 3	Met
07616480000000	Antioch Unified	Contra Costa	Climate-Priority Area 6	Met
07616550000000	Brentwood Union Elementary	Contra Costa	Basic-Priority Area 1	Met
07616550000000	Brentwood Union Elementary	Contra Costa	Academic-Priority Area 2	Met
07616550000000	Brentwood Union Elementary	Contra Costa	Parents-Priority Area 3	Met
07616550000000	Brentwood Union Elementary	Contra Costa	Climate-Priority Area 6	Met
07616630000000	Byron Union Elementary	Contra Costa	Basic-Priority Area 1	Met
07616630000000	Byron Union Elementary	Contra Costa	Academic-Priority Area 2	Met
07616630000000	Byron Union Elementary	Contra Costa	Parents-Priority Area 3	Met
07616630000000	Byron Union Elementary	Contra Costa	Climate-Priority Area 6	Met
07616710000000	Canyon Elementary	Contra Costa	Basic-Priority Area 1	Met
07616710000000	Canyon Elementary	Contra Costa	Academic-Priority Area 2	Met
07616710000000	Canyon Elementary	Contra Costa	Parents-Priority Area 3	Met
07616710000000	Canyon Elementary	Contra Costa	Climate-Priority Area 6	Met
07616970000000	John Swett Unified	Contra Costa	Basic-Priority Area 1	Met
07616970000000	John Swett Unified	Contra Costa	Academic-Priority Area 2	Met
07616970000000	John Swett Unified	Contra Costa	Parents-Priority Area 3	Met
07616970000000	John Swett Unified	Contra Costa	Climate-Priority Area 6	Met
07617050000000	Knightsen Elementary	Contra Costa	Basic-Priority Area 1	Met
07617050000000	Knightsen Elementary	Contra Costa	Academic-Priority Area 2	Met
07617050000000	Knightsen Elementary	Contra Costa	Parents-Priority Area 3	Met
07617050000000	Knightsen Elementary	Contra Costa	Climate-Priority Area 6	Met
07617130000000	Lafayette Elementary	Contra Costa	Basic-Priority Area 1	Met
07617130000000	Lafayette Elementary	Contra Costa	Academic-Priority Area 2	Met
07617130000000	Lafayette Elementary	Contra Costa	Parents-Priority Area 3	Met
07617130000000	Lafayette Elementary	Contra Costa	Climate-Priority Area 6	Met
07617210000000	Liberty Union High	Contra Costa	Basic-Priority Area 1	Met
07617210000000	Liberty Union High	Contra Costa	Academic-Priority Area 2	Met
07617210000000	Liberty Union High	Contra Costa	Parents-Priority Area 3	Met
07617210000000	Liberty Union High	Contra Costa	Climate-Priority Area 6	Met
07617390000000	Martinez Unified	Contra Costa	Basic-Priority Area 1	Met
07617390000000	Martinez Unified	Contra Costa	Academic-Priority Area 2	Met
07617390000000	Martinez Unified	Contra Costa	Parents-Priority Area 3	Met
07617390000000	Martinez Unified	Contra Costa	Climate-Priority Area 6	Met
07617470000000	Moraga Elementary	Contra Costa	Basic-Priority Area 1	Met
07617470000000	Moraga Elementary	Contra Costa	Academic-Priority Area 2	Met
07617470000000	Moraga Elementary	Contra Costa	Parents-Priority Area 3	Met
07617470000000	Moraga Elementary	Contra Costa	Climate-Priority Area 6	Met
07617540000000	Mt. Diablo Unified	Contra Costa	Basic-Priority Area 1	Met
07617540000000	Mt. Diablo Unified	Contra Costa	Academic-Priority Area 2	Met
07617540000000	Mt. Diablo Unified	Contra Costa	Parents-Priority Area 3	Met
07617540000000	Mt. Diablo Unified	Contra Costa	Climate-Priority Area 6	Met
07617620000000	Oakley Union Elementary	Contra Costa	Basic-Priority Area 1	Met
07617620000000	Oakley Union Elementary	Contra Costa	Academic-Priority Area 2	Met
07617620000000	Oakley Union Elementary	Contra Costa	Parents-Priority Area 3	Met
07617620000000	Oakley Union Elementary	Contra Costa	Climate-Priority Area 6	Met
07617700000000	Orinda Union Elementary	Contra Costa	Basic-Priority Area 1	Met
07617700000000	Orinda Union Elementary	Contra Costa	Academic-Priority Area 2	Met
07617700000000	Orinda Union Elementary	Contra Costa	Parents-Priority Area 3	Met
07617700000000	Orinda Union Elementary	Contra Costa	Climate-Priority Area 6	Met
07617880000000	Pittsburg Unified	Contra Costa	Basic-Priority Area 1	Met
07617880000000	Pittsburg Unified	Contra Costa	Academic-Priority Area 2	Met
07617880000000	Pittsburg Unified	Contra Costa	Parents-Priority Area 3	Met
07617880000000	Pittsburg Unified	Contra Costa	Climate-Priority Area 6	Met
07617960000000	West Contra Costa Unified	Contra Costa	Basic-Priority Area 1	Met
07617960000000	West Contra Costa Unified	Contra Costa	Academic-Priority Area 2	Met
07617960000000	West Contra Costa Unified	Contra Costa	Parents-Priority Area 3	Met
07617960000000	West Contra Costa Unified	Contra Costa	Climate-Priority Area 6	Met
07618040000000	San Ramon Valley Unified	Contra Costa	Basic-Priority Area 1	Met
07618040000000	San Ramon Valley Unified	Contra Costa	Academic-Priority Area 2	Met
07618040000000	San Ramon Valley Unified	Contra Costa	Parents-Priority Area 3	Met
07618040000000	San Ramon Valley Unified	Contra Costa	Climate-Priority Area 6	Met
07618120000000	Walnut Creek Elementary	Contra Costa	Basic-Priority Area 1	Met
07618120000000	Walnut Creek Elementary	Contra Costa	Academic-Priority Area 2	Met
07618120000000	Walnut Creek Elementary	Contra Costa	Parents-Priority Area 3	Met
07618120000000	Walnut Creek Elementary	Contra Costa	Climate-Priority Area 6	Met
08100820000000	Del Norte County Office of Education	Del Norte	Basic-Priority Area 1	Met
08100820000000	Del Norte County Office of Education	Del Norte	Academic-Priority Area 2	Met
08100820000000	Del Norte County Office of Education	Del Norte	Parents-Priority Area 3	Met
08100820000000	Del Norte County Office of Education	Del Norte	Climate-Priority Area 6	Met
08100820000000	Del Norte County Office of Education	Del Norte	Expelled-Priority Area 9	Met
08100820000000	Del Norte County Office of Education	Del Norte	FosterYouth-Priority Area 10	Met
08618200000000	Del Norte County Unified	Del Norte	Basic-Priority Area 1	Met
08618200000000	Del Norte County Unified	Del Norte	Academic-Priority Area 2	Met
08618200000000	Del Norte County Unified	Del Norte	Parents-Priority Area 3	Met
08618200000000	Del Norte County Unified	Del Norte	Climate-Priority Area 6	Met
09100900000000	El Dorado County Office of Education	El Dorado	Basic-Priority Area 1	Met
09100900000000	El Dorado County Office of Education	El Dorado	Academic-Priority Area 2	Met
09100900000000	El Dorado County Office of Education	El Dorado	Parents-Priority Area 3	Met
09100900000000	El Dorado County Office of Education	El Dorado	Climate-Priority Area 6	Met
09100900000000	El Dorado County Office of Education	El Dorado	Expelled-Priority Area 9	Met
09100900000000	El Dorado County Office of Education	El Dorado	FosterYouth-Priority Area 10	Met
09618380000000	Buckeye Union Elementary	El Dorado	Basic-Priority Area 1	Met
09618380000000	Buckeye Union Elementary	El Dorado	Academic-Priority Area 2	Met
09618380000000	Buckeye Union Elementary	El Dorado	Parents-Priority Area 3	Met
09618380000000	Buckeye Union Elementary	El Dorado	Climate-Priority Area 6	Met
09618460000000	Camino Union Elementary	El Dorado	Basic-Priority Area 1	Met
09618460000000	Camino Union Elementary	El Dorado	Academic-Priority Area 2	Met
09618460000000	Camino Union Elementary	El Dorado	Parents-Priority Area 3	Met
09618460000000	Camino Union Elementary	El Dorado	Climate-Priority Area 6	Met
09618530000000	El Dorado Union High	El Dorado	Basic-Priority Area 1	Met
09618530000000	El Dorado Union High	El Dorado	Academic-Priority Area 2	Met
09618530000000	El Dorado Union High	El Dorado	Parents-Priority Area 3	Met
09618530000000	El Dorado Union High	El Dorado	Climate-Priority Area 6	Met
09618790000000	Gold Oak Union Elementary	El Dorado	Basic-Priority Area 1	Met
09618790000000	Gold Oak Union Elementary	El Dorado	Academic-Priority Area 2	Met
09618790000000	Gold Oak Union Elementary	El Dorado	Parents-Priority Area 3	Met
09618790000000	Gold Oak Union Elementary	El Dorado	Climate-Priority Area 6	Met
09618870000000	Gold Trail Union Elementary	El Dorado	Basic-Priority Area 1	Met
09618870000000	Gold Trail Union Elementary	El Dorado	Academic-Priority Area 2	Met
09618870000000	Gold Trail Union Elementary	El Dorado	Parents-Priority Area 3	Met
09618870000000	Gold Trail Union Elementary	El Dorado	Climate-Priority Area 6	Met
09618950000000	Indian Diggings Elementary	El Dorado	Basic-Priority Area 1	Not Met
09618950000000	Indian Diggings Elementary	El Dorado	Academic-Priority Area 2	Not Met
09618950000000	Indian Diggings Elementary	El Dorado	Parents-Priority Area 3	Not Met
09618950000000	Indian Diggings Elementary	El Dorado	Climate-Priority Area 6	Not Met
09619030000000	Lake Tahoe Unified	El Dorado	Basic-Priority Area 1	Met
09619030000000	Lake Tahoe Unified	El Dorado	Academic-Priority Area 2	Met
09619030000000	Lake Tahoe Unified	El Dorado	Parents-Priority Area 3	Met
09619030000000	Lake Tahoe Unified	El Dorado	Climate-Priority Area 6	Met
09619110000000	Latrobe	El Dorado	Basic-Priority Area 1	Met
09619110000000	Latrobe	El Dorado	Academic-Priority Area 2	Met
09619110000000	Latrobe	El Dorado	Parents-Priority Area 3	Met
09619110000000	Latrobe	El Dorado	Climate-Priority Area 6	Met
09619290000000	Mother Lode Union Elementary	El Dorado	Basic-Priority Area 1	Met
09619290000000	Mother Lode Union Elementary	El Dorado	Academic-Priority Area 2	Met
09619290000000	Mother Lode Union Elementary	El Dorado	Parents-Priority Area 3	Met
09619290000000	Mother Lode Union Elementary	El Dorado	Climate-Priority Area 6	Met
09619450000000	Pioneer Union Elementary	El Dorado	Basic-Priority Area 1	Met
09619450000000	Pioneer Union Elementary	El Dorado	Academic-Priority Area 2	Met
09619450000000	Pioneer Union Elementary	El Dorado	Parents-Priority Area 3	Met
09619450000000	Pioneer Union Elementary	El Dorado	Climate-Priority Area 6	Met
09619520000000	Placerville Union Elementary	El Dorado	Basic-Priority Area 1	Met
09619520000000	Placerville Union Elementary	El Dorado	Academic-Priority Area 2	Met
09619520000000	Placerville Union Elementary	El Dorado	Parents-Priority Area 3	Met
09619520000000	Placerville Union Elementary	El Dorado	Climate-Priority Area 6	Met
09619600000000	Pollock Pines Elementary	El Dorado	Basic-Priority Area 1	Met
09619600000000	Pollock Pines Elementary	El Dorado	Academic-Priority Area 2	Met
09619600000000	Pollock Pines Elementary	El Dorado	Parents-Priority Area 3	Met
09619600000000	Pollock Pines Elementary	El Dorado	Climate-Priority Area 6	Met
09619780000000	Rescue Union Elementary	El Dorado	Basic-Priority Area 1	Met
09619780000000	Rescue Union Elementary	El Dorado	Academic-Priority Area 2	Met
09619780000000	Rescue Union Elementary	El Dorado	Parents-Priority Area 3	Met
09619780000000	Rescue Union Elementary	El Dorado	Climate-Priority Area 6	Met
09619860000000	Silver Fork Elementary	El Dorado	Basic-Priority Area 1	Met
09619860000000	Silver Fork Elementary	El Dorado	Academic-Priority Area 2	Met
09619860000000	Silver Fork Elementary	El Dorado	Parents-Priority Area 3	Met
09619860000000	Silver Fork Elementary	El Dorado	Climate-Priority Area 6	Met
09737830000000	Black Oak Mine Unified	El Dorado	Basic-Priority Area 1	Not Met
09737830000000	Black Oak Mine Unified	El Dorado	Academic-Priority Area 2	Not Met
09737830000000	Black Oak Mine Unified	El Dorado	Parents-Priority Area 3	Not Met
09737830000000	Black Oak Mine Unified	El Dorado	Climate-Priority Area 6	Not Met
10101080000000	Fresno County Office of Education	Fresno	Basic-Priority Area 1	Met
10101080000000	Fresno County Office of Education	Fresno	Academic-Priority Area 2	Met
10101080000000	Fresno County Office of Education	Fresno	Parents-Priority Area 3	Met
10101080000000	Fresno County Office of Education	Fresno	Climate-Priority Area 6	Met
10101080000000	Fresno County Office of Education	Fresno	Expelled-Priority Area 9	Met
10101080000000	Fresno County Office of Education	Fresno	FosterYouth-Priority Area 10	Met
10620260000000	Big Creek Elementary	Fresno	Basic-Priority Area 1	Met
10620260000000	Big Creek Elementary	Fresno	Academic-Priority Area 2	Met
10620260000000	Big Creek Elementary	Fresno	Parents-Priority Area 3	Met
10620260000000	Big Creek Elementary	Fresno	Climate-Priority Area 6	Met
10620420000000	Burrel Union Elementary	Fresno	Basic-Priority Area 1	Met
10620420000000	Burrel Union Elementary	Fresno	Academic-Priority Area 2	Met
10620420000000	Burrel Union Elementary	Fresno	Parents-Priority Area 3	Met
10620420000000	Burrel Union Elementary	Fresno	Climate-Priority Area 6	Met
10621090000000	Clay Joint Elementary	Fresno	Basic-Priority Area 1	Met
10621090000000	Clay Joint Elementary	Fresno	Academic-Priority Area 2	Met
10621090000000	Clay Joint Elementary	Fresno	Parents-Priority Area 3	Met
10621090000000	Clay Joint Elementary	Fresno	Climate-Priority Area 6	Met
10621170000000	Clovis Unified	Fresno	Basic-Priority Area 1	Met
